name, author, rating, format, year
The Beautiful Mystery: A Chief Inspector Gamache Novel,Louise Penny,4.5,Paperback,2013
A Dead End (A Saints & Strangers Cozy Mystery Book 1),Keeley Bates,4.3,Kindle,2015
The Girl Who Lived: A Thrilling Suspense Novel,Christopher Greyson,4.4,Paperback,2017
If She Knew (A Kate Wise Mystery—Book 1),Blake Pierce,4.3,Kindle,2018
His Last Goodbye / A Legend Never Dies: 2 Book Bell Hath No Fury Crime Thriller Box Set,,,Kindle Edition,2019
Long Road to Mercy (An Atlee Pine Thriller),David Baldacci,4.0,Kindle,2018
Loose Ends: A Private Investigator Crime and Suspense Mystery Thriller (California Corwin P. I. Mystery Series Book 1),D. D. VanDyke,4.0,Kindle,2014
Brownies & Betrayal (Sweet Bites Mysteries~ Book 1),Heather Justesen,4.4,Kindle,2012
Beyond Secrets~ The Art of Murder: A Madison Hart Mystery (Madison Hart Mysteries Book 1),DB Jones,4.1,Kindle,2015
The Other Woman: A Novel,Daniel Silva,4.4,Kindle,2018
THE CASTLE MYSTERY an absolutely gripping whodunit full of twists,,4.4,Kindle,2019
Up from the Sea: A Whose Waves These Are Novella,Amanda Dykes,5.0,Kindle,2019
Someone Else’s Daughter: Book I (A Miranda's Rights Mystery 1),Linsey Lanier,4.4,Kindle,2014
Stealing Power: Absolutely gripping crime fiction full of unputdownable mystery and suspense (Detectives Kane and Colt Crime Thriller Series Book 1),Bo Brennan,4.2,Kindle,2014
Honeymoon Cottage (A Pajaro Bay Mystery Book 1),Barbara Cool Lee,4.4,Kindle,2015
The Kimberley Secret: A Jack Rogan Mysteries Prequel,Gabriel Farago,4.4,Kindle,2018
A Stoneybrook Mystery Collection: A Cozy Mystery Box Set Books 1-3,Eryn  Scott,,Kindle,2019
Scraps of Paper (The First Spookie Town Murder Mystery Book 1),Kathryn Meyer Griffith,4.5,Kindle,2013
Last Call: A twisty~ fun PI Mystery (The Janet Black Mystery Series Book 1),Libby Kirsch,4.4,Kindle,2018
STILL I WILL FOLLOW (A Miller's Creek Novel Book 7),Cathy Bryant,4.9,Kindle,2017
A BRIDGE UNBROKEN (A Miller's Creek Novel Book 5),Cathy Bryant,4.7,Kindle,2014
Bed and Breakfast and Murder (Fiona Fleming Cozy Mysteries Book 1),Patti Larsen,4.3,Kindle,2017
Swamp Spook (A Miss Fortune Mystery Book 13),Jana DeLeon,4.9,Kindle,2018
The Chef,James Patterson,3.1,Kindle,2019
The Killer Collective,Barry Eisler,4.3,Kindle,2019
Jabez: A Christian Inspirational Novella  Book 1.5 (After 2),Joy Ohagwu,4.4,Kindle,2016
Once Gone (a Riley Paige Mystery--Book #1),Blake Pierce,4.3,Kindle,2015
Season of the Raven: A Servant of the Crown Mystery (Volume 1),Denise Domning,4.4,Paperback,2014
The Loch Ness Papers (A Scottish Bookshop Mystery Book 4),Paige Shelton,4.2,Kindle,2019
All Eyes on Me (A Miranda and Parker Mystery Book 1),Linsey Lanier,4.3,Kindle,2014
The Tale Teller: A Leaphorn~ Chee & Manuelito Novel~ Book 4,,4.6,Audible Audiobook,2019
Before he Kills (A Mackenzie White Mystery—Book 1),Blake Pierce,4.4,Kindle,2016
The Tale Teller: A Leaphorn~ Chee & Manuelito Novel~ Book 4,,4.6,Audible Audiobook,2019
Before he Kills (A Mackenzie White Mystery—Book 1),Blake Pierce,4.4,Kindle,2016
Murder & Mayhem (Cryptic Cove Cozy Mystery Series Book 1),K.P. Stafford,4.0,Kindle,2016
Lady Rample Steps Out (Lady Rample Mysteries Book 1),Shéa MacLeod,4.1,Kindle,2017
Origin: A Novel (Robert Langdon),Dan Brown,4.2,Kindle,2017
Sign Off (Caught Dead in Wyoming mystery series~ Book 1),Patricia McLinn,4.3,Kindle,2015
The Book of Mysteries,,4.8,Audible Audiobook,2016
THE WINTER MYSTERY an absolutely gripping whodunit full of twists,,4.1,Kindle,2018
THE RIVERBOAT MYSTERY an absolutely gripping whodunit full of twists,,4.3,Kindle,2019
Goliath (A Ryan Mitchell Thriller Book 1),Richard Turner,4.1,Kindle,2014
Cause to Kill (An Avery Black Mystery—Book 1),Blake Pierce,4.3,Kindle,2016
The Girl Who Lived: A Thrilling Suspense Novel,Christopher Greyson,4.4,Kindle,2017
Against The Odds (Anna Dawson Book 1): Anna Dawson Mystery Series,Mara Jacobs,4.3,Kindle,2013
Marigolds and Murder (Port Danby Cozy Mystery Book 1),London Lovett,4.3,Kindle,2017
The Silent Corner: A Novel of Suspense (Jane Hawk Book 1),Dean Koontz,4.3,Kindle,2017
Cozy Mysteries Cookbook: Recipes from Hope Callaghan's Cozy Mystery Books,Hope Callaghan,4.2,Kindle,2017
The Fallen (Memory Man series Book 4),David Baldacci,4.6,Kindle,2018
Deadly Stillwater: A compelling crime thriller (Mac McRyan Mystery Series Book),Roger Stelljes,4.4,Kindle,2014
Big Numbers (Austin Carr Mystery Book 1),Jack Getze,4.2,Kindle,2013
Murder In The Dark: a gripping crime mystery full of twists,Betsy Reavley,4.0,Kindle,2018
Death in Room 7 (Pine Lake Inn Cozy Mystery Book 1),K.J. Emrick,4.4,Kindle,2015
Buried Secrets: A gripping thriller you won’t be able to put down,,4.2,Paperback,2017
Sing Roses For Me (Max Allen Book 1),Ben Marney,4.6,Kindle,2017
Past Crimes: A Compendium of Historical Mysteries,Ashley Gardner,4.3,Kindle,2017
Deadly Gamble: A Girl and Her Dog Cozy Mystery (Charlie Parker Mystery Book 1),Connie Shelton,4.2,Kindle,2009
Something Read Something Dead: A Lighthouse Library Mystery,Eva Gates,4.4,Kindle,2019
Sweets and a Stabbing (The Pink Cupcake Mysteries Book 1),Harper Lin,4.6,Kindle,2016
