name, author, rating, format, year
Single~ Dating~ Engaged~ Married: Navigating Life and Love in the Modern Age,Ben Stuart,4.9,Paperback,2017
Men Don't Love Women Like You: The Brutal Truth About Dating~ Relationships~ and How to Go from Placeholder to Game Changer,G.L. Lambert,4.5,Kindle,2016
Never Chase Men Again: 38 Dating Secrets To Get The Guy~ Keep Him Interested~ And Prevent Dead-End Relationships,Bruce Bryans,4.5,Paperback,2015
The Tao of Dating: The Smart Woman's Guide to Being Absolutely Irresistible,Ali Binazir,4.5,Kindle,2010
Boundaries in Dating: How Healthy Choices Grow Healthy Relationships,Henry Cloud,4.6,Paperback,2000
The New Rules for Love~ Sex~ and Dating,Andy Stanley,4.7,Paperback,2015
The Dating Playbook For Men: A Proven 7 Step System To Go From Single To The Woman Of Your Dreams,Andrew Ferebee,4.5,Kindle,2015
Wired for Dating: How Understanding Neurobiology and Attachment Style Can Help You Find Your Ideal Mate,,4.2,Paperback,2016
Dating : Secrets for Introverts - How to Eliminate Dating Fear~ Anxiety and Shyness by Instantly Raising Your Charm and Confidence with These Simple Techniques,James W. Williams,4.2,Kindle,2018
Deeper Dating: How to Drop the Games of Seduction and Discover the Power of Intimacy,Ken Page,4.5,Paperback,2014
Dating Dutch: Bad Boys Need Love Too,Misti Murphy,4.6,Kindle,2019
The Dating Proposal,,,Audible Audiobook,2019
Social Skills: Top 10 Mistakes That Destroy Your Charisma… and How to Avoid Them,,4.7,Kindle Edition,2018
Conversation Casanova: How to Effortlessly Start Conversations and Flirt Like a Pro,David  Perrotta,4.6,Kindle,2016
Devotions For Dating Couples: Building A Foundation For Spiritual Intimacy,Ben Young,4.4,Paperback,2002
Together With Christ: A Dating Couples Devotional: 52 Devotions and Bible Studies to Nurture Your Relationship,Chelsea Damon,4.4,Paperback,2018
Josh and Hazel's Guide to Not Dating,Christina Lauren,4.6,Kindle,2018
Dating and the Single Parent: * Are You Ready to Date?  * Talking With the Kids   * Avoiding a Big Mistake  * Finding Lasting Love,Ron L. Deal,4.5,Paperback,2012
How To Get A Man Without Getting Played: 29 Dating Secrets to Catch Mr. Right~ Set Your Standards~ and Eliminate Time Wasters,Bruce Bryans,4.7,Kindle,2017
Dating Games,T.K. Leigh,4.7,Kindle,2019
Paranormal Dating Agency Volume 3 (BBW Paranormal Shape Shifter Romance),Milly Taiden,4.9,Kindle,2016
Love That Lasts: How We Discovered God's Better Way for Love~ Dating~ Marriage~ and Sex,,4.9,Audible Audiobook,2017
Dating Detox: 40 Days of Perfecting Love in an Imperfect World,Kevin Cotter,4.8,Kindle,2017
Alpha Male Strategies: Dating Techniques In The Social Media Age,,4.8,Paperback,2018
The Awesome Girl's Guide to Dating Extraordinary Men,Ernessa T. Carter,4.3,Kindle,2013
Getting Back Out There: Secrets to Successful Dating and Finding Real Love after the Big Breakup,Susan J. Elliott,5.0,Kindle,2015
Texts So Good He Can't Ignore: Sassy Texting Secrets for Attracting High-Quality Men (and Keeping the One You Want),Bruce Bryans,4.3,Kindle,2018
The Power of the Pussy - How to Get What You Want From Men: Love~ Respect~ Commitment and More!: (Dating and Relationship Advice),Kara King,4.3,Kindle,2014
I Kissed Dating Goodbye,Joshua Harris,4.4,Paperback,2003
Phases_ DIVORCE~ DATING~ & HEARTBREAK~ & DREAMING OF A REAL LIFE FANTASY,,,Paperback,2019
Things You Should Already Know About Dating~ You F*cking Idiot,Ben Schwartz,3.6,Paperback,2017
Paranormal Dating Agency Volume 4,Milly Taiden,4.6,Kindle,2017
Not Yet Married: The Pursuit of Joy in Singleness and Dating,Marshall Segal,4.4,Paperback,2017
The Five Love Languages: Singles Edition,,4.8,Audible Audiobook,2019
Not Your Mother's Rules: The New Secrets for Dating (The Rules),Ellen Fein,4.0,Paperback,2013
